X,Y,Profundidade,Rugosidade,Z,Nó
694745.6647,7459616.063,14.6022,0.02,-14.6022,385
694721.2299,7459722.001,13.3922,0.02,-13.3922,386
694770.598,7459489.118,15.6531,0.02,-15.6531,387
694758.1313,7459552.59,15.2634,0.02,-15.2634,388
694709.9229,7459769.535,12.8885,0.02,-12.8885,389
694698.6159,7459817.069,12.441,0.02,-12.441,390
694689.0584,7459853.174,12.1486,0.02,-12.1486,391
694505,7460297.5,1.9742,0.02,-1.9742,392
694506.5,7460285.5,1.9688,0.02,-1.9688,393
694461.5,7460369,2.48,0.15,-2.48,394
694465.5,7460362.5,2.48,0.15,-2.48,395
694463.5,7460365.75,2.48,0.15,-2.48,396
694440,7460355,2.48,0.15,-2.48,397
694444,7460348,2.48,0.15,-2.48,398
694442,7460351.5,2.48,0.15,-2.48,399
694591.5581,7460007.131,8.1256,0.02,-8.1256,400
694598.8976,7459973.752,8.5643,0.02,-8.5643,401
694606.237,7459940.373,9.1299,0.02,-9.1299,402
694609.7592,7459905.211,9.7844,0.02,-9.7844,403
694613.2814,7459870.049,10.4595,0.02,-10.4595,404
694538.5,7460238.5,2.5502,0.02,-2.5502,405
694547,7460196,3.4666,0.02,-3.4666,406
694545,7460210,3.0803,0.02,-3.0803,407
694534,7460253,2.2973,0.02,-2.2973,408
694543,7460224,2.8183,0.02,-2.8183,409
694525,7460280,1.9581,0.02,-1.9581,410
694529.5,7460266.5,2.0677,0.02,-2.0677,411
694629.5739,7459637.896,13.622,0.02,-13.622,412
694630.9281,7459584.92,14.3923,0.02,-14.3923,413
694628.2196,7459690.872,12.8679,0.02,-12.8679,414
694634.2063,7459453.793,16.3208,0.02,-16.3208,415
694632.5672,7459519.357,15.3521,0.02,-15.3521,416
694625.0755,7459740.127,12.3044,0.02,-12.3044,417
694621.9313,7459789.382,11.6042,0.02,-11.6042,418
694617.6064,7459829.716,11.1093,0.02,-11.1093,419
694489,7460289,1.979,0.02,-1.979,420
694490,7460278,1.9735,0.02,-1.9735,421
694508,7460273.5,1.9636,0.02,-1.9636,422
694491,7460267,1.9719,0.02,-1.9719,423
694421,7460342.5,2.48,0.15,-2.48,424
694425,7460336,2.48,0.15,-2.48,425
694423,7460339.25,2.48,0.15,-2.48,426
694552.1334,7460009.386,5.8161,0.02,-5.8161,427
694554.9237,7459971.457,5.7975,0.02,-5.7975,428
694557.714,7459933.528,6.2394,0.02,-6.2394,429
694559.4751,7459897.419,7.199,0.02,-7.199,430
694561.2362,7459861.31,8.6422,0.02,-8.6422,431
694561.1529,7459820.931,9.813,0.02,-9.813,432
694561.0695,7459780.552,10.7385,0.02,-10.7385,433
694518.5,7460235,2.185,0.02,-2.185,434
694515,7460248.5,2.086,0.02,-2.086,435
694522,7460221.5,2.2934,0.02,-2.2934,436
694525.5,7460197,2.7728,0.02,-2.7728,437
694523.75,7460209.25,2.4751,0.02,-2.4751,438
694511.5,7460261,2.0025,0.02,-2.0025,439
694493.5,7460255.5,2.0225,0.02,-2.0225,440
694553.7436,7459630.772,14.0486,0.02,-14.0486,441
694548.0366,7459577.638,15.0144,0.02,-15.0144,442
694559.4505,7459683.907,12.9809,0.02,-12.9809,443
694533.4384,7459452.214,16.8608,0.02,-16.8608,444
694540.7375,7459514.926,15.9845,0.02,-15.9845,445
694560.26,7459732.229,11.9214,0.02,-11.9214,446
694470,7460284,1.9859,0.02,-1.9859,447
694471.25,7460273.5,1.9797,0.02,-1.9797,448
694472.5,7460263,1.9877,0.02,-1.9877,449
694474.75,7460251.5,2.018,0.02,-2.018,450
694402,7460330,2.48,0.15,-2.48,451
694406,7460324,2.48,0.15,-2.48,452
694404,7460327,2.48,0.15,-2.48,453
694512.7087,7460011.641,3.8922,0.02,-3.8922,454
694510.9499,7459969.162,3.639,0.02,-3.639,455
694509.191,7459926.683,4.3097,0.02,-4.3097,456
694509.191,7459889.627,5.7307,0.02,-5.7307,457
694509.191,7459852.571,7.835,0.02,-7.835,458
694504.6994,7459812.146,9.4232,0.02,-9.4232,459
694500.2077,7459771.722,10.7935,0.02,-10.7935,460
694498.5,7460231.5,2.1458,0.02,-2.1458,461
694496,7460244,2.0788,0.02,-2.0788,462
694501,7460219,2.219,0.02,-2.219,463
694504,7460198,2.5121,0.02,-2.5121,464
694502.5,7460208.5,2.3408,0.02,-2.3408,465
694477.9133,7459623.648,14.7762,0.02,-14.7762,466
694465.1452,7459570.355,15.8106,0.02,-15.8106,467
694490.6815,7459676.941,13.5333,0.02,-13.5333,468
694432.6704,7459450.635,17.6697,0.02,-17.6697,469
694448.9078,7459510.495,16.8107,0.02,-16.8107,470
694495.4446,7459724.332,12.2616,0.02,-12.2616,471
694451,7460279,1.992,0.02,-1.992,472
694452.5,7460269,1.9852,0.02,-1.9852,473
694454,7460259,1.9888,0.02,-1.9888,474
694477,7460240,2.0534,0.02,-2.0534,475
694456,7460247.5,1.9986,0.02,-1.9986,476
694458,7460236,2.0129,0.02,-2.0129,477
694465.8252,7459989.19,2.5799,0.02,-2.5799,478
694463.3398,7459957.58,2.821,0.02,-2.821,479
694460.8546,7459925.971,3.8699,0.02,-3.8699,480
694456.3939,7459890.237,5.5238,0.02,-5.5238,481
694451.9333,7459854.504,7.9225,0.02,-7.9225,482
694442.4955,7459816.405,9.9131,0.02,-9.9131,483
694433.0576,7459778.306,11.5487,0.02,-11.5487,484
694422.3524,7459733.302,12.9721,0.02,-12.9721,485
694411.6472,7459688.299,14.1616,0.02,-14.1616,486
694479,7460227.75,2.0953,0.02,-2.0953,487
694481,7460215.5,2.1421,0.02,-2.1421,488
694459.5,7460224,2.0303,0.02,-2.0303,489
694482.5,7460193.5,2.3104,0.02,-2.3104,490
694481.75,7460204.5,2.2219,0.02,-2.2219,491
694393.6982,7459639.507,15.3122,0.02,-15.3122,492
694375.7492,7459590.715,16.2564,0.02,-16.2564,493
694337.7962,7459478.842,17.9786,0.02,-17.9786,494
694356.7727,7459534.779,17.1807,0.02,-17.1807,495
694434,7460279,1.9999,0.02,-1.9999,496
694434.5,7460268,1.992,0.02,-1.992,497
694435,7460257,1.9776,0.02,-1.9776,498
694417,7460279,2.0077,0.02,-2.0077,499
694416.5,7460267,1.9968,0.02,-1.9968,500
694437.25,7460244.75,1.9657,0.02,-1.9657,501
694439.5,7460232.5,1.9593,0.02,-1.9593,502
694440.75,7460220,1.9539,0.02,-1.9539,503
